year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1970,1970-09-05,9.0,Florida,FL,"Cocoa Beach, Brevard County",Floating on a raft,False,18.0,M,Laceration to left foot,N,Unprovoked
1970,1970-10-24,10.0,Hawaii,HI,"Brennecke Beach, Po'ipu, Kaua'i",Body surfing,True,,M,Shoulder & arm bitten,N,Unprovoked
1970,1970-12-03,12.0,Hawaii,HI,Kauai,Shipwreck,False,41.0,M,Right thigh lacerated,N,Sea Disaster
1971,1971-07-19,7.0,California,CA,"Point Purisima, Santa Barbara County",Hookah diving (submerged),False,,M,"Major injuries to head, buttocks & back",N,Unprovoked
1971,1971-07-26,7.0,Florida,FL,"Daytona Beach, Volusia County",Wading,False,8.0,M,Laceration to left ankle,N,Unprovoked
1971,1971-09-25,9.0,North Carolina,NC,"Emerald Isle, Carteret County",Surfing,True,17.0,,Left foot injured,N,Unprovoked
1971,1971-10-02,10.0,California,CA,"Sea Ranch, Sonoma County",Scuba diving,False,30.0,M,Bitten on legs,N,Unprovoked
1971,1971-10-23,10.0,Florida,FL,"Ft. Pierce, St Lucie County",Surfing,True,18.0,M,"Right shoulder, arm & hand bitten",N,Unprovoked
1972,1972-03-16,3.0,Hawaii,HI,"Waihe'e, Wailuku, Maui",Spearfishing,False,,M,Leg bitten,N,Unprovoked
1972,1972-05-28,5.0,California,CA,"Bird Rock, near Tomales Point, Marin County",Free diving for abalone,False,32.0,M,Bitten on legs & buttock,N,Unprovoked
1972,1972-06-10,6.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing,True,22.0,M,Buttocks bitten,N,Unprovoked
1972,1972-07-05,7.0,California,CA,"Laguna Beach, Orange County",Diving,False,,,Sharks reportedly bit legs & fins ,N,Invalid
1972,1972-08-17,8.0,Hawaii,HI,"Waimanu, Honoka'a, Hawai'i",Spearfishing,False,,M,Forearm bitten,N,Unprovoked
1972,1972-08-29,8.0,Florida,FL,"Crescent Beach, St. Johns County",Surfing,True,15.0,M,Left calf bitten,N,Unprovoked
1972,1972-09-09,9.0,California,CA,"Point Sur, Monterey County",Surfing,True,,M,Legs & board bitten,N,Unprovoked
1972,1972-10-14,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,M,Survived,N,Unprovoked
1972,1972-10-14,10.0,US Virgin Islands,,"St. Croix, Cane Bay",Scuba diving,False,,M,"FATAL, body not recovered",Y,Unprovoked
1973,1973-01-09,1.0,Hawaii,HI,"Ho'okipa Beach, Pa'ia, Maui",Surfing,True,,M,Leg bitten,N,Unprovoked
1973,1973-08-16,8.0,Virginia,VA,False Cape,Crabbing (spearing crabs),False,17.0,M,Elbow bitten,N,Unprovoked
1973,1973-11-24,11.0,Florida,FL,"Ormond By The Sea, Volusia County",Surfing,True,13.0,M,Foot bitten,N,Unprovoked
1973,1973-12-18,12.0,Hawaii,HI,"Kalama Beach, Kihei, Maui",Swimming,False,,M,Leg bitten,N,Unprovoked
1974,1974-04-12,4.0,Florida,FL,"Haulover Beach, Miami-Dade County",Swimming,False,11.0,F,Foot bitten,N,Unprovoked
1974,1974-05-26,5.0,California,CA,"Tomales Point, Marin County",Free diving (but on surface),True,45.0,M,Leg bitten,N,Unprovoked
1974,1974-06-20,6.0,Florida,FL,"New Smyrna Beach, Volusia County",Swimming,False,61.0,F,Lacerations to hip and leg,N,Unprovoked
1974,1974-07-02,7.0,Florida,FL,Gulf of Mexico,Adrift after the sinking of the motor yacht Princess Dianne,False,10.0,M,Arm bitten FATAL,Y,Sea Disaster
1974,1974-07-20,7.0,Georgia,GA,"Back River, Savannah Beach, Chatham County",Swimming,False,17.0,M,FATAL,Y,Unprovoked
1974,1974-07-26,7.0,California,CA,"Albion Cove, Albion, Mendocino County",Free diving for abalone (submerged),False,36.0,M,Minor bite on heel & swim fin bitten,N,Unprovoked
1974,1974-08-05,8.0,California,CA,"San Gregorio Beach, San Mateo County",Surfing,True,,M,Minor injuries to hand,N,Unprovoked
1974,1974-09-02,9.0,California,CA,"Franklin Point, San Mateo County",Scuba diving (but on surface),True,48.0,M,Minor bite on foot & swimfin,N,Unprovoked
1974,1974-09-02,9.0,California,CA,"Franklin Point, San Mateo County",Scuba diving (but on surface),True,41.0,M,Minor injuries to hand,N,Unprovoked
1974,1974-09-14,9.0,California,CA,"North Farallon Island, Farallon Islands",Hookah diving for abalone,False,29.0,M,Major injuries,N,Unprovoked
1974,1974-09-28,9.0,California,CA,"North of Point Sur, Monterey County",Surfing,True,17.0,M,"Thigh, lower back and surfboard bitten",N,Unprovoked
1974,1974-11-01,11.0,Florida,FL,"Daytona Beach, Volusia County",Standing,False,24.0,M,Laceration to foot,N,Unprovoked
1975,1975-03-16,3.0,Florida,FL,"Clearwater Beach, Pinellas County",Floating in inner tube,False,14.0,M,Left leg & foot bitten,N,Unprovoked
1975,1975-05-20,5.0,Florida,FL,"Daytona Beach, Volusia County",Bathing,False,10.0,F,Leg bitten,N,Unprovoked
1975,1975-05-25,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,M,Right foot bitten,N,Unprovoked
1975,1975-06-15,6.0,Alabama,AL,5 miles off the coast,Swimming near his boat,False,27.0,M,Left leg bitten,N,Unprovoked
1975,1975-06-23,6.0,South Carolina,SC,"Windy Hill, near Myrtle Beach, Horry County",Swimming,False,18.0,M,Lacerations to right foot,N,Unprovoked
1975,1975-06-23,6.0,South Carolina,SC,"North Myrtle Beach, Horry County",Standing,False,15.0,F,Hand & wrist bitten,N,Unprovoked
1975,1975-07-04,7.0,Florida,FL,"Indiatlantic, Brevard County",Surfing,True,16.0,M,"Foot bitten, tendons damaged",N,Unprovoked
1975,1975-07-15,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Swimming,False,14.0,F,Arm lacerated,N,Unprovoked
1975,1975-07-19,7.0,California,CA,"Point Conception, Santa Barbara County",Hookah diving for abalone,False,34.0,M,"No injury, swim fin torn",N,Unprovoked
1975,1975-07-23,7.0,California,CA,"Perch Rock, Point Conception, Santa Barbara County",Scuba diving for abalone (at surface),True,23.0,M,Legs bitten,N,Unprovoked
1975,1975-07-26,7.0,Florida,FL,"Off Hutchinson Island, St Lucie County",Free diving,False,24.0,M,Forearms lacerated,N,Unprovoked
1975,1975-07-30,7.0,Oregon,OR,,Sea disaster,False,62.0,F,"FATAL, arms & legs bitten",Y,Sea Disaster
1975,1975-08-09,8.0,California,CA,"Usal Creek, Bear Harbor, Mendocino County",Free diving for abalone,False,44.0,M,"Shoulder, arm & hand lacerated",N,Unprovoked
1975,1975-08-12,8.0,Florida,FL,"Daytona Beach, Volusia County",Floating on a small orange raft,False,20.0,M,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",N,Unprovoked
1975,1975-10-04,10.0,California,CA,"Seal Beach, Orange County",Surfing,True,,,,,Invalid
1975,1975-10-21,10.0,New Jersey,NJ,"Sandy Hook, Monmouth County",Surf fishing,False,,M,"""Tooth marks"" in left leg",N,Invalid
1975,1975-11-02,11.0,Florida,FL,"Crescent Beach, St. Johns County",Surfing,True,18.0,M,Foot bitten,N,Unprovoked
1975,1975-12-06,12.0,California,CA,Farallon Islands,Scuba diving & spearfishing,False,27.0,M,Leg bitten,N,Unprovoked
1976,1976-01-08,1.0,Florida,FL,"Off Fort Pierce, St Lucie County",Spearfishing / scuba diving,False,25.0,M,Puncture wounds to head & neck,N,Unprovoked
1976,1976-03-12,3.0,Florida,FL,"New Smyrna Beach, Volusia County",Standing,False,21.0,M,Lacerations to left leg,N,Unprovoked
1976,1976-04-28,4.0,Texas,TX,Galveston Island,,False,,,"Possible drowning victim, remains retrieved from shark caught by fishermen on 28-Apr-1976",Y,Invalid
1976,1976-06-10,6.0,Hawaii,HI,"Kama'ole Beach, Park No. 1, Kihei, Maui",Swimming,False,,M,Leg & foot bitten,N,Unprovoked
1976,1976-06-23,6.0,Florida,FL,"St. Andrews State Park, Bay County",Skindiving,False,17.0,M,Lacerations to right arm,N,Unprovoked
1976,1976-07-12,7.0,Florida,FL,St. Lucie County,Spearfishing,False,23.0,M,"""lost part of a finger""",N,Unprovoked
1976,1976-07-16,7.0,Hawaii,HI,"Maha'ulepu, Koloa, Kaua'i",Scuba diving,False,18.0,M,"FATAL, disappeared while diving, lower portion of body recovered",Y,Unprovoked
1976,1976-07-21,7.0,Louisiana,LA,Scofield - Sandy Point,Playing,False,10.0,M,Leg bitten,N,Unprovoked
1976,1976-07-24,7.0,Florida,FL,St. Lucie County,Spearfishing,False,24.0,M,Lacerations to forearms,N,Unprovoked
1976,1976-08-24,8.0,Oregon,OR,Winchester Bay,Surfing,True,19.0,M,"No injury, board bitten",N,Unprovoked
1976,1976-08-26,8.0,North Carolina,NC,"Emerald Isle Pier (near Morehead City), Carteret County","Surfing, fell off surfboard",True,23.0,M,Right ankle & foot lacerated,N,Unprovoked
1976,1976-09-06,9.0,Florida,FL,"Sebastian, Indian River County",Surfing,True,15.0,M,Laceration to left lower leg,N,Unprovoked
1976,1976-09-12,9.0,Florida,FL,"Jacksonville, Duval County",Swimming,False,,M,FATAL,Y,Unprovoked
1976,1976-09-12,9.0,Florida,FL,"Jacksonville, Duval County",Swimming,False,16.0,M,FATAL,Y,Unprovoked
1976,1976-10-18,10.0,California,CA,"Moonstone Beach, Humboldt County",Surfing,True,25.0,M,Leg bitten ,N,Unprovoked
1976,1976-11-25,11.0,Florida,FL,"Delray Beach, Palm Beach County",Surfing,True,19.0,M,"Right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",N,Unprovoked
1976,1976-12-18,12.0,California,CA,"San Miguel Island, Santa Barbara County",Hookah diving for abalone (submerged),False,29.0,M,Buttocks & hip bitten,N,Unprovoked
1977,1977-04-21,4.0,Hawaii,HI,"Ka'anapali, Maui",Swimming,False,,M,Arm bitten,N,Unprovoked
1977,1977-06-06,6.0,Texas,TX,Padre Island,Collecting fish from net,False,25.0,M,Lacerations to wrist,N,Unprovoked
1977,1977-06-26,6.0,Florida,FL,"12 miles northeast of Mayport,  Duval County",Spearfishing / Scuba diving,False,27.0,M,"PROVOKED INCIDENT    Diver poked shark with spear, then shark bit his right foot",N,Provoked
1977,1977-07-02,7.0,California,CA,"Off San Diego, San Diego County",40' fishing boat sank,False,21.0,M,Laceration to right hand,N,Sea Disaster
1977,1977-08-05,8.0,Florida,FL,"St. Petersburg, Pinellas County",Wading,False,17.0,M,Lacerations to hip and leg,N,Invalid
1977,1977-08-14,8.0,California,CA,"McClure Beach, near Tomales Point, Marin County",Free diving for abalone (surfacing),True,20.0,M,Leg lacerated,N,Unprovoked
1977,1977-12-19,12.0,Florida,FL,"Hobe Sound, Palm Beach County",Surfing,True,27.0,M,Laceration to right hand,N,Unprovoked
1977,1977-12-31,12.0,Hawaii,HI,2 miles off Keahole Airport,"Swimming, after single-engine aircraft went down in the sea",False,49.0,M,Feet lacerated,N,Sea Disaster
1978,1978-06-21,6.0,Florida,FL,"Neptune Beach, Duval County",Surfing,True,17.0,M,Foot nipped,N,Unprovoked
1978,1978-06-21,6.0,Florida,FL,"South of Neptune Beach, Duval County",Surfing,True,20.0,M,Foot bitten,N,Unprovoked
1978,1978-07-19,7.0,California,CA,"Newport Beach, Orange County",Fishing,False,27.0,M,Laceration to leg by hooked shark  PROVOKED INCIDENT,N,Provoked
1978,1978-07-27,7.0,South Carolina,SC,,"Explosion destroyed 28' boat, survivors in the water",False,39.0,M,"No injury, his foot was bumped by a shark biting the body of a passenger that had drowned.",N,Sea Disaster
1978,1978-08-05,8.0,California,CA,"Pajaro Dunes, Santa Cruz County",Wading,False,,M,Punctures on leg (minor injury),N,Unprovoked
1978,1978-11-23,11.0,Florida,FL,"Jupiter, Palm Beach County",Surfing,True,17.0,M,Hand lacerated,N,Unprovoked
1978,1978-11-26,11.0,Hawaii,HI,"Ewa, O'ahu",Surfing,True,,M,Left arm bitten,N,Unprovoked
1979,1979-03-11,3.0,California,CA,"Ano Nuevo Island, San Mateo, County",Scuba diving (submerged),False,,M,"No injury, swim fin bitten",N,Unprovoked
1979,1979-03-24,3.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Surfing,True,27.0,M,Foot & ankle bitten,N,Unprovoked
1979,1979-04-08,4.0,Florida,FL,"Public Beach (Carlin Park), Jupiter, Palm Beach County",Swimming,False,24.0,M,Right foot & ankle lacerated,N,Unprovoked
1979,1979-04-08,4.0,Florida,FL,"Municipal Beach, Boyton Beach, Palm Beach County",Body surfing,True,8.0,M,Right foot bitten,N,Unprovoked
1979,1979-05-27,5.0,Florida,FL,"Fort Walton Beach, Okaloosa County",Scuba diving,False,36.0,M,"FATAL, but shark involvement prior to death was not determined",Y,Invalid
1979,1979-06-19,6.0,Florida,FL,10 miles off Cape Canaveral,Floating with life preserver after his boat foundered,False,56.0,M,Lacerations to leg,N,Sea Disaster
1979,1979-08-05,8.0,Florida,FL,"Daytona Beach, Volusia County",Kayaking,False,49.0,M,Lacerations to foot,N,Unprovoked
1979,1979-11-27,11.0,Oregon,OR,"Haystack Rock, Cannon Beach, Clatsop County",Surfing,True,20.0,M,Multiple major Injuries,N,Unprovoked
1980,1980-06-26,6.0,California,CA,"Off San Clemente Island, Los Angeles County",Scuba diving,False,44.0,F,Laceration to lower leg   PROVOKED INCIDENT,N,Provoked
1980,1980-07-23,7.0,Delaware,DE,Dewey Beach,Standing,False,22.0,F,"No injury, shark bit her bathing suit",N,Unprovoked
1980,1980-07-27,7.0,New Jersey,NJ,"Ocean City, Cape May County",Body surfing,True,15.0,M,Back bitten,N,Unprovoked
1980,1980-08-04,8.0,Hawaii,HI,"Puamana, Lahaina, Maui",Resting on body board,True,,M,Torso bitten,N,Unprovoked
1980,1980-08-10,8.0,North Carolina,NC,"Ocean Isle, Brunswick County",Wading,False,10.0,F,Bitten behind knee & lower leg,N,Unprovoked
1980,1980-10-17,10.0,California,CA,"Moonstone Beach, Humboldt County",Surfing,True,19.0,M,No injury,N,Unprovoked
1980,1980-10-27,10.0,Oregon,OR,Off Umpqua River,Surfing,True,29.0,M,Thigh lacerated,N,Unprovoked
1981,1981-01-30,1.0,Florida,FL,20 miles from Mayport,Commercial spearfishing,False,25.0,M,3 small punctures in scalp & ripped nostril,N,Unprovoked
1981,1981-02-02,2.0,Florida,FL,"Juno Beach, Palm Beach County",Surfing,True,15.0,M,Lacerations & punctures in left calf & ankle,N,Unprovoked
1981,1981-03-24,3.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Surfing,True,24.0,M,Puncture wounds on  right thigh,N,Unprovoked
1981,1981-03-25,3.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,False,19.0,M,"Lacerations on calf, ankle & heel",N,Unprovoked
1981,1981-05-16,5.0,Florida,FL,"Jacksonville, Duval County",Diving,False,,M,Left arm bitten,N,Unprovoked
1981,1981-05-19,5.0,Florida,FL,"Sands Cut, Elliot Key",Free diving,False,32.0,M,Massive tissue damage of left arm,N,Unprovoked
1981,1981-05-24,5.0,Hawaii,HI,"Ha'ena Beach Park, Kaua'i","Scuba diving, reportedly also spearfishing",False,,M,"FATAL, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",Y,Unprovoked
1981,1981-06-12,6.0,Hawaii,HI,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",,False,,M,"Probable drowning, 1/3 of shark-multilated body recovered",Y,Invalid
1981,1981-07-07,7.0,Florida,FL,Carter Cay,Spearfishing,False,,M,Left foot & ankle lacerated,N,Unprovoked
1981,1981-07-20,7.0,Florida,FL,"St. Petersburg Beach, Pinellas County",Swimming,False,16.0,F,"Foot bitten between arch & big toe, no stitches required",N,Unprovoked
1981,1981-08-10,8.0,Florida,FL,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",False,19.0,F,FATAL,Y,Unprovoked
1981,1981-08-10,8.0,Florida,FL,"Marathon, Monroe County",Diving,False,,M,Bite to face,N,Unprovoked
1981,1981-08-24,8.0,Hawaii,HI,"Keaukaha, Hilo, Hawai'i",Fishing,False,,M,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,Y,Invalid
1981,1981-08-24,8.0,Florida,FL,Gulf Island National Seashore Park,Spearfishing,False,19.0,M,"Shot shark, then it bit him. Puncture wounds on leg  PROVOKED INCIDENT",N,Provoked
1981,1981-08-29,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,15.0,M,Laceration to left ankle,N,Unprovoked
1981,1981-09-03,9.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing,True,24.0,M,Laceration to foot,N,Unprovoked
1981,1981-09-03,9.0,Florida,FL,"Patrick Air Force Base, Brevard County",Surfing,True,25.0,M,Lacerations to 2 fingers of left hand,N,Unprovoked
1981,1981-09-15,9.0,Florida,FL,"Tampa Bay, Manatee County",Swimming,False,26.0,M,"FATAL, right calf bitten  ",Y,Unprovoked
1981,1981-09-27,9.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,,,Lacerations to right hand,N,Unprovoked
1981,1981-09-28,9.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing,True,28.0,M,5 puncture marks to hip,N,Unprovoked
1981,1981-10-01,10.0,Florida,FL,"Playalinda Beach, Brevard County",Surfing,True,24.0,M,Laceration to right leg,N,Unprovoked
1981,1981-10-16,10.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing,True,17.0,M,Puncture wounds to left foot,N,Unprovoked
1981,1981-10-17,10.0,Florida,FL,"Palm Beach, Palm Beach County",Surfing,True,,M,No details,,Unprovoked
1981,1981-10-19,10.0,Florida,FL,"Jupiter Island, Brevard County",Swimming,False,19.0,M,Hand & forearm bitten,N,Unprovoked
1981,1981-11-09,11.0,Hawaii,HI,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,False,59.0,M,Hand bitten,N,Unprovoked
1981,1981-12-13,12.0,Hawaii,HI,"Nimitz Beach, Barbers Point, O'ahu","Spearfishing, but swimming on surface",True,,M,Right leg severely bitten,N,Unprovoked
1981,1981-12-19,12.0,California,CA,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,True,24.0,M,"FATAL, torso bitten ",Y,Unprovoked
1982,1982-02-07,2.0,Florida,FL,Elliot Key,Diving,False,29.0,M,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,Unprovoked
1982,1982-02-07,2.0,California,CA,"Stillwater Cove, Sonoma County",Scuba diving (submerged),False,,M,Calf & ankle bitten,N,Unprovoked
1982,1982-02-13,2.0,Florida,FL,"Palm Beach, Palm Beach County",Swimming,False,75.0,F,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,Unprovoked
1982,1982-02-14,2.0,Hawaii,HI,"White Plains Beach, Barbers Point, O'ahu",Wading,False,,F,Left leg bitten,N,Unprovoked
1982,1982-02-14,2.0,Hawaii,HI,"White Plains Beach, Barbers Point, O'ahu",Swimming,False,,F,Right foot bitten,N,Unprovoked
1982,1982-02-27,2.0,Florida,FL,"Hobe Sound, Palm Beach County",Surfing,True,18.0,M,Lacerations to left hand and forearm,N,Unprovoked
1982,1982-03-10,3.0,Florida,FL,"Palm Beach, Palm Beach County",Surfing,True,16.0,M,Elbow bitten,N,Unprovoked
1982,1982-06-13,6.0,Hawaii,HI,"Ho'okipa Beach, Pa'ia, Maui","Sailboarding, fell into water 100 yards outside the breakwater",False,,M,Thigh bitten 3 times,N,Unprovoked
1982,1982-06-25,6.0,Florida,FL,"Ormond Beach / Daytona Beach, Volusia County",,False,8.0,F,Foot bitten,N,Unprovoked
1982,1982-06-26,6.0,South Carolina,SC,"Isle of Palms, Charleston County",Swimming,False,20.0,M,Left arm bitten,N,Unprovoked
1982,1982-07-01,7.0,Florida,FL,"Daytona Beach, Volusia County",Swimming,False,19.0,F,Laceration to left leg,N,Unprovoked
1982,1982-07-11,7.0,California,CA,"Malibu, Los Angeles County",Swimming,False,43.0,M,Laceration to left thigh,N,Invalid
1982,1982-07-19,7.0,Florida,FL,"Stuart Beach, Martin County ",Swimming,False,17.0,M,Left ankle bitten,N,Unprovoked
1982,1982-07-24,7.0,California,CA,"Point Buchon, San Luis Obispo County",Paddle Boarding,False,26.0,M,"No Injury, board bitten",N,Unprovoked
1982,1982-08-29,8.0,California,CA,"Morro Rock, Morro Bay, San Obispo County",Surfing,True,17.0,M,"No Injury, board bitten",N,Invalid
1982,1982-09-04,9.0,Florida,FL,"Hollywood Beach, Broward County",,False,20.0,M,"Remains recovered from shark, but shark involvement prior to death unknown",Y,Invalid
1982,1982-09-19,9.0,California,CA,"Bear Harbor, Mendocino County",Free diving for abalone from Zodiac (submerged),False,28.0,M,Upper left thigh & buttocks bitten,N,Unprovoked
1982,1982-09-25,9.0,California,CA,"Monastery Beach, Carmel Bay, Monterey County",Diving,False,36.0,M,Lacerations to hand,N,Unprovoked
1982,1982-09-27,9.0,Florida,FL,"Patrick Air Force Base, Brevard County",Surfing,True,20.0,M,Laceration to lower left leg,N,Unprovoked
1982,1982-10-13,10.0,Florida,FL,North Dade- Interama area of Biscayne Bay,Windsurfing,True,26.0,M,Left foot lacerated,N,Unprovoked
1983,1983-01-24,1.0,South Carolina,SC,60 miles southeast of Beaufort,Fishing,False,43.0,M,Leg bitten by captive shark PROVOKED INCIDENT,N,Provoked
1983,1983-03-10,3.0,Florida,FL,"Juno Beach, Palm Beach County",Surfing,True,,M,"Shark nudged board, no injury",N,Unprovoked
1983,1983-04-02,4.0,Florida,FL,"Lake Worth Beach, Palm Beach County",Surfing,True,16.0,M,Left foot bitten,N,Unprovoked
1983,1983-04-19,4.0,Florida,FL,,Surfing,True,,M,No details,,Unprovoked
1983,1983-05-21,5.0,Florida,FL,"Haulover Inlet, Dade County",Surfing,True,22.0,M,Right foot bitten,N,Unprovoked
1983,1983-05-24,5.0,Florida,FL," Riviera Beach, Palm Beach County",Surfing,True,15.0,M,"Knocked off board by shark, no injury",N,Unprovoked
1983,1983-05-31,5.0,Florida,FL,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,False,21.0,M,"Left calf, knee & hands lacerated",N,Unprovoked
1983,1983-06-20,6.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,True,21.0,M,Left foot lacerated,N,Unprovoked
1983,1983-06-29,6.0,Florida,FL,"Off 12th Street, Miami Beach",Swimming,False,42.0,M,Left foot bitten,N,Unprovoked
1983,1983-07-05,7.0,Florida,FL,"Riviera Beach, Palm Beach County",Floating on air mattress,False,17.0,,"No injury, shark bit air mattress, deflating it",N,Unprovoked
1983,1983-07-12,7.0,Florida,FL,"Caloosahatchee River, Lee County",Windsurfing,True,39.0,F,Left ankle nipped (3 punctures wounds),N,Unprovoked
1983,1983-08-06,8.0,Rhode Island,RI,,Fishing,False,,,No injury to occupants,N,Boat
1983,1983-08-13,8.0,Florida,FL,"6 miles south of Boca Chica Key, Monroe County ",Diving,False,22.0,F,Right leg severely bitten,N,Unprovoked
1983,1983-08-13,8.0,Florida,FL,"Riviera Beach, Palm Beach County",Skindiving,False,14.0,M,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,Provoked
1983,1983-08-15,8.0,Virginia,VA,"Virginia Beach, Princess Anne County",Swimming,False,14.0,F,Foot bitten,N,Unprovoked
1983,1983-08-20,8.0,Oregon,OR,"Cape Kiwanda,Tillamook County",Surfing,True,,M,"No injury, board bitten",N,Unprovoked
1983,1983-09-04,9.0,Florida,FL,"Off Lake Worth, Palm Beach County",Standing,False,15.0,M,Abrasions to leg,N,Unprovoked
1983,1983-10-13,10.0,Florida,FL,"Daytona Beach, Volusia County",Wading,False,20.0,M,Lacerations to left ankle,N,Unprovoked
1983,1983-10-17,10.0,Florida,FL,"Stuart Beach, Martin County",Surfing,True,16.0,M,Puncture marks in leg & surfboard dinged,N,Unprovoked
1983,1983-12-25,12.0,Florida,FL,"Riviera Beach, Palm Beach County",Surfing,True,17.0,M,Left foot & thigh bitten,N,Unprovoked
1984,1984-06-03,6.0,Hawaii,HI,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,False,13.0,F,Foot bitten,N,Unprovoked
1984,1984-07-01,7.0,Florida,FL,,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water",False,30.0,M,Leg abraded,N,Unprovoked
1984,1984-07-24,7.0,Texas,TX,South Padre Island,Swimming,False,18.0,F,Legs severely lacerated,N,Unprovoked
1984,1984-07-24,7.0,Texas,TX,South Padre Island,Swimming,False,13.0,F,Lacerations on right foot,N,Unprovoked
1984,1984-08-24,8.0,Florida,FL,"Off Crystal River, Citrus County",Boat capsized?,False,31.0,F,Death was due to drowning; body scavenged by a shark,Y,Invalid
1984,1984-09-15,9.0,California,CA,"Pigeon Point, San Mateo County",Skindiving,False,28.0,M,FATAL,Y,Unprovoked
1984,1984-09-17,9.0,California,CA,"Mission Beach, San Diego County",Wading,False,,M,Arm bitten,N,Unprovoked
1984,1984-09-19,9.0,Florida,FL,Volusia County,Swimming,False,,,No details,,Unprovoked
1984,1984-09-22,9.0,Florida,FL,,Swimming,False,,M,Left foot lacerated,N,Unprovoked
1984,1984-09-22,9.0,Florida,FL,"Indiatlantic, Brevard County",Surfing,True,16.0,M,Foot bitten,N,Unprovoked
1984,1984-09-23,9.0,Florida,FL,Volusia County,Surfing,True,17.0,M,Right foot bitten,N,Unprovoked
1984,1984-09-30,9.0,California,CA,"Tomales Point, Marin County","Free diving , but surfacing",True,,M,Legs & buttocks bitten,N,Unprovoked
1984,1984-09-30,9.0,Oregon,OR,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),True,25.0,M,"Abrasion on right foot, board bitten",N,Unprovoked
1984,1984-10-14,10.0,Florida,FL,"Bob Graham Beach, Martin County",Surfing,True,15.0,M,Left calf bitten,N,Unprovoked
1984,1984-10-17,10.0,Florida,FL,"Boynton Beach, Palm Beach County",Wading,False,77.0,F,"10"" laceration on leg",N,Invalid
1984,1984-10-21,10.0,Florida,FL,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,True,23.0,F,"9"" laceration to right forearm ",N,Unprovoked
1984,1984-10-21,10.0,Florida,FL,"Wabasso Beach, Indian River County",Swimming,False,22.0,M,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",Y,Invalid
1984,1984-11-04,11.0,Florida,FL,"Fowey Rock, Key Biscayne",Spearfishing,False,29.0,M,"Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",N,Provoked
1984,1984-11-11,11.0,Florida,FL,"Jupiter Island Beach, Martin County",Surfing,True,13.0,M,Left foot bitten,N,Unprovoked
1985,1985-02-03,2.0,Florida,FL,"15 miles north of Sebastian Inlet, Brevard County",Surfing,True,16.0,M,Right foot bitten,N,Unprovoked
1985,1985-02-18,2.0,California,CA,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),True,29.0,M,Bruised,N,Unprovoked
1985,1985-03-16,3.0,Florida,FL,"Palm Beach, Palm Beach County",Surfing,True,25.0,M,Hand bitten,N,Unprovoked
1985,1985-05-26,5.0,California,CA,"Long Beach, Los Angeles County","Surfing, but lying prone on his board",True,,M,Leg injured,N,Unprovoked
1985,1985-07-19,7.0,South Carolina,SC,"Folly Beach, Charleston County",Playing in knee-deep water,False,10.0,F,2/3rd of left calf removed,N,Unprovoked
1985,1985-07-21,7.0,California,CA,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",Bottom fishing for lingcod & had hooked a fish,False,,,"No injury to occupant, shark rammed boat catapulting it out of the water",N,Boat
