year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
2002,2002-10-11,10.0,Florida,FL,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,True,21.0,M,Left foot bitten,N,Unprovoked
2002,2002-10-30,10.0,Hawaii,HI,"Kama'ole Beach Park I, Kihei, Maui",Swimming,False,60.0,F,Left foot bitten ,N,Unprovoked
2002,2002-11-02,11.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie boarding,True,16.0,M,Puncture wounds on right foot,N,Unprovoked
2002,2002-11-11,11.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,True,21.0,M,1.5-inch laceration,N,Unprovoked
2002,2002-11-17,11.0,Hawaii,HI,Ka'anapali,Swimming,False,34.0,F,Right shoulder forarm & wrist bitten,N,Unprovoked
2002,2002-11-28,11.0,California,CA,"Salmon Creek, Sonoma County",Body boarding,True,48.0,M,Both legs severely lacerated,N,Unprovoked
2003,2003-02-15,2.0,Florida,FL,"Jupiter, Palm Beach County",Swimming,False,54.0,M,Left hand bitten,N,Unprovoked
2003,2003-03-10,3.0,Florida,FL,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",Petting captive sharks,False,,F,Hand nipped PROVOKED INCIDENT,N,Provoked
2003,2003-04-04,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,50.0,M,Left hand and wrist bitten,N,Unprovoked
2003,2003-04-09,4.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,,M,Arm lacerated,N,Unprovoked
2003,2003-04-15,4.0,Florida,FL,"Cocoa Beach, Brevard County",Swimming (using a float),False,20.0,M,Left calf lacerated,N,Unprovoked
2003,2003-04-18,4.0,Florida,FL,"North Beach, Patrick AFB, Brevard County",Surfing,True,12.0,M,2 lacerations on left thigh,N,Unprovoked
2003,2003-04-19,4.0,Florida,FL,"New Smyrna Beach, Volusia County  ",Jumping,False,11.0,M,Left foot bitten,N,Unprovoked
2003,2003-04-20,4.0,Florida,FL,"Playalinda Beach, Brevard County",Surfing,True,30.0,M,Left foot bitten,N,Unprovoked
2003,2003-04-20,4.0,Florida,FL,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,True,23.0,M,Small lacerations to foot,N,Unprovoked
2003,2003-04-20,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Left ankle bitten or right foot,N,Unprovoked
2003,2003-04-21,4.0,Florida,FL,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,True,17.0,M,Survived,N,Unprovoked
